date,isin,price
2026-04-14,ARB,0.1101
2026-04-14,BTC,74181.6094
2026-04-14,CRO,0.0693
2026-04-14,ETH,2323.3086
2026-04-14,GB00BP6MXD84,38.815
2023-12-18,GLP,1.151
2026-04-15,GM-ARB,0.5523
2026-04-15,GM-BTC,2.3013
2026-04-15,GM-ETH,1.7398
2026-04-15,GM-LINK,2.3963
2026-04-15,GM-USD,1.165
2026-04-14,IE0009HF1MK9,12.064
2026-04-14,IE00B3FH7618,98.85
2026-04-14,LINK,9.0228
2026-04-13,LU0792910217,118.0
2026-04-13,LU0940007189,316.78
2026-04-14,LU1931974262,34.975
2026-04-14,NEXO,0.8984
2026-04-14,NL0010273215,1284.2
2026-04-13,NL0011225305,28.032
2026-04-13,NL0011354865,150.73
2026-04-13,NL0011354873,232.22
2026-04-13,NL0011354972,169.91
2026-04-13,NL0011515424,18.8974
2026-04-14,NL0011872643,62.76
2026-04-13,NL0011896998,246.89
2026-04-13,NL0013552078,17.1234
2026-04-13,NL0013654742,20.6035
2026-04-13,NL0014040289,12.9429
2026-04-14,US45841N1072,77.1
2026-04-14,USD_EUR,0.8497
