Date,Price
2026-04-02,0.2394
2026-04-01,0.2481
2026-03-31,0.2416
2026-03-30,0.2432
2026-03-29,0.2396
2026-03-28,0.2457
2026-03-27,0.246
2026-03-26,0.2548
2026-03-25,0.2703
2026-03-24,0.2662
2026-03-23,0.2616
2026-03-22,0.2506
2026-03-21,0.2578
2026-03-20,0.2661
2026-03-19,0.2674
2026-03-18,0.2742
2026-03-17,0.2891
2026-03-16,0.2904
2026-03-15,0.2698
2026-03-14,0.2634
2026-03-13,0.2657
2026-03-12,0.2632
2026-03-11,0.2625
2026-03-10,0.262
2026-03-09,0.255
2026-03-08,0.2492
2026-03-07,0.2547
2026-03-06,0.259
2026-03-05,0.269
2026-03-04,0.2761
2026-03-03,0.2629
2026-03-02,0.2768
2026-03-01,0.2736
2026-02-28,0.2816
2026-02-27,0.2776
2026-02-26,0.287
2026-02-25,0.2967
2026-02-24,0.2588
2026-02-23,0.2623
2026-02-22,0.2714
2026-02-21,0.28
2026-02-20,0.2849
2026-02-19,0.2725
2026-02-18,0.2736
2026-02-17,0.281
2026-02-16,0.2855
2026-02-15,0.2818
2026-02-14,0.2953
2026-02-13,0.2727
2026-02-12,0.2642
2026-02-11,0.2556
2026-02-10,0.2617
2026-02-09,0.2697
2026-02-08,0.2703
2026-02-07,0.2724
2026-02-06,0.2762
2026-02-05,0.2449
2026-02-04,0.2863
2026-02-03,0.2908
2026-02-02,0.2989
2026-02-01,0.286
2026-01-31,0.2935
2026-01-30,0.3204
2026-01-29,0.334
2026-01-28,0.3579
2026-01-27,0.3603
2026-01-26,0.352
2026-01-25,0.3387
2026-01-24,0.3582
2026-01-23,0.3601
2026-01-22,0.3589
2026-01-21,0.3657
2026-01-20,0.3504
2026-01-19,0.3701
2026-01-18,0.3757
2026-01-17,0.3967
2026-01-16,0.3955
2026-01-15,0.3935
2026-01-14,0.4145
2026-01-13,0.4214
2026-01-12,0.3859
2026-01-11,0.3903
2026-01-10,0.3879
2026-01-09,0.3907
2026-01-08,0.3956
2026-01-07,0.4019
2026-01-06,0.4196
2026-01-05,0.4219
2026-01-04,0.4001
2026-01-03,0.3894
2026-01-02,0.3938
2026-01-01,0.3562
2025-12-31,0.3328
2025-12-30,0.3511
2025-12-29,0.3529
2025-12-28,0.3685
2025-12-27,0.3695
2025-12-26,0.3496
2025-12-25,0.3432
2025-12-24,0.3564
2025-12-23,0.3629
2025-12-22,0.3708
2025-12-21,0.3659
2025-12-20,0.3731
2025-12-19,0.3766
2025-12-18,0.3514
2025-12-17,0.3665
2025-12-16,0.3857
2025-12-15,0.3881
2025-12-14,0.3966
2025-12-13,0.4111
2025-12-12,0.4091
2025-12-11,0.4253
2025-12-10,0.4539
2025-12-09,0.47
2025-12-08,0.4322
2025-12-07,0.4168
2025-12-06,0.4139
2025-12-05,0.4163
2025-12-04,0.4395
2025-12-03,0.4508
2025-12-02,0.434
2025-12-01,0.3857
2025-11-30,0.4159
2025-11-29,0.4154
2025-11-28,0.4202
2025-11-27,0.4337
2025-11-26,0.4356
2025-11-25,0.4216
2025-11-24,0.4278
2025-11-23,0.4085
2025-11-22,0.4046
2025-11-21,0.4091
2025-11-20,0.4324
2025-11-19,0.4632
2025-11-18,0.475
2025-11-17,0.4655
2025-11-16,0.4848
2025-11-15,0.5034
2025-11-14,0.4984
2025-11-13,0.5311
2025-11-12,0.5453
2025-11-11,0.5565
2025-11-10,0.593
2025-11-09,0.5786
