Date,Price
2026-04-02,1.6654
2026-04-01,1.6757
2026-03-31,1.7044
2026-03-30,1.6658
2026-03-29,1.6427
2026-03-28,1.6657
2026-03-27,1.6732
2026-03-26,1.6972
2026-03-25,1.7651
2026-03-24,1.7855
2026-03-23,1.7843
2026-03-22,1.7682
2026-03-21,1.7946
2026-03-20,1.8323
2026-03-19,1.8124
2026-03-18,1.9065
2026-03-17,1.9603
2026-03-16,1.9765
2026-03-15,1.8599
2026-03-14,1.8707
2026-03-13,1.8594
2026-03-12,1.8369
2026-03-11,1.8397
2026-03-10,1.788
2026-03-09,1.7417
2026-03-08,1.7367
2026-03-07,1.7837
2026-03-06,1.8083
2026-03-05,1.8388
2026-03-04,1.8801
2026-03-03,1.8141
2026-03-02,1.844
2026-03-01,1.7999
2026-02-28,1.8496
2026-02-27,1.8507
2026-02-26,1.8798
2026-02-25,1.9385
2026-02-24,1.9948
2026-02-23,2.1177
2026-02-22,2.2503
2026-02-21,2.3124
2026-02-20,2.3576
2026-02-19,2.2879
2026-02-18,2.3405
2026-02-17,2.2384
2026-02-16,2.2915
2026-02-15,2.1378
2026-02-14,2.1818
2026-02-13,2.1192
2026-02-12,1.9663
2026-02-11,1.9389
2026-02-10,1.9212
2026-02-09,1.9603
2026-02-08,1.9502
2026-02-07,1.9898
2026-02-06,1.9851
2026-02-05,1.8142
2026-02-04,1.9927
2026-02-03,2.0276
2026-02-02,1.9793
2026-02-01,1.9125
2026-01-31,1.9686
2026-01-30,2.1051
2026-01-29,2.1252
2026-01-28,2.2349
2026-01-27,2.2424
2026-01-26,2.2174
2026-01-25,2.2353
2026-01-24,2.3299
2026-01-23,2.3647
2026-01-22,2.3303
2026-01-21,2.3788
2026-01-20,2.2926
2026-01-19,2.4546
2026-01-18,2.4278
2026-01-17,2.5658
2026-01-16,2.4922
2026-01-15,2.4757
2026-01-14,2.5836
2026-01-13,2.6303
2026-01-12,2.4794
2026-01-11,2.5694
2026-01-10,2.5686
2026-01-09,2.5827
2026-01-08,2.4561
2026-01-07,2.4318
2026-01-06,2.5357
2026-01-05,2.3691
2026-01-04,2.3376
2026-01-03,2.2386
2026-01-02,2.1648
2026-01-01,2.0658
2025-12-31,1.9269
2025-12-30,1.966
2025-12-29,1.9634
2025-12-28,2.0731
2025-12-27,2.0814
2025-12-26,2.0449
2025-12-25,1.9571
2025-12-24,1.9798
2025-12-23,1.9694
2025-12-22,1.9485
2025-12-21,1.9404
2025-12-20,1.9809
2025-12-19,1.9638
2025-12-18,1.8523
2025-12-17,1.941
2025-12-16,1.997
2025-12-15,2.0483
2025-12-14,2.1051
2025-12-13,2.1825
2025-12-12,2.139
2025-12-11,2.1854
2025-12-10,2.2723
2025-12-09,2.3274
2025-12-08,2.246
2025-12-07,2.1788
2025-12-06,2.2385
2025-12-05,2.1994
2025-12-04,2.3135
2025-12-03,2.3996
2025-12-02,2.3668
2025-12-01,2.2678
2025-11-30,2.3783
2025-11-29,2.4281
2025-11-28,2.4406
2025-11-27,2.5208
2025-11-26,2.5261
2025-11-25,2.466
2025-11-24,2.5011
2025-11-23,2.4923
2025-11-22,2.5098
2025-11-21,2.5159
2025-11-20,2.7398
2025-11-19,2.7252
2025-11-18,2.7587
2025-11-17,2.7012
2025-11-16,2.7674
2025-11-15,2.8522
2025-11-14,2.8023
2025-11-13,2.8751
2025-11-12,2.8893
2025-11-11,2.9426
2025-11-10,3.1011
2025-11-09,2.9702
2025-11-08,2.953
2025-11-07,3.0407
2025-11-06,2.6474
2025-11-05,2.671
2025-11-04,2.5094
2025-11-03,2.5056
2025-11-02,3.0717
2025-11-01,3.0295
2025-10-31,2.9612
2025-10-30,2.9526
2025-10-29,3.0957
2025-10-28,3.1011
2025-10-27,3.1791
2025-10-26,3.2564
2025-10-25,3.1511
2025-10-24,3.1853
2025-10-23,3.1831
2025-10-22,3.1154
2025-10-21,3.1895
2025-10-20,3.2757
2025-10-19,3.2288
2025-10-18,3.1843
2025-10-17,3.153
2025-10-16,3.2518
2025-10-15,3.3349
2025-10-14,3.475
2025-10-13,3.6452
2025-10-12,3.489
2025-10-11,3.1443
2025-10-10,2.9639
2025-10-09,4.0598
2025-10-08,4.1717
2025-10-07,4.0595
2025-10-06,4.2732
2025-10-05,4.1508
2025-10-04,4.137
2025-10-03,4.2819
2025-10-02,4.3118
2025-10-01,4.1314
2025-09-30,4.0978
2025-09-29,4.1174
2025-09-28,4.1821
2025-09-27,4.1157
2025-09-26,4.1176
2025-09-25,4.0086
2025-09-24,4.1537
2025-09-23,4.1323
2025-09-22,4.1617
2025-09-21,4.4066
2025-09-20,4.4527
2025-09-19,4.4787
2025-09-18,4.6756
2025-09-17,4.6106
2025-09-16,4.5493
2025-09-15,4.5088
2025-09-14,4.6426
2025-09-13,4.8263
2025-09-12,4.7502
2025-09-11,4.6937
2025-09-10,4.6784
2025-09-09,4.5886
2025-09-08,4.543
2025-09-07,4.4852
2025-09-06,4.4116
2025-09-05,4.4398
2025-09-04,4.3951
2025-09-03,4.521
2025-09-02,4.4273
2025-09-01,4.3866
2025-08-31,4.4662
2025-08-30,4.5039
2025-08-29,4.4837
2025-08-28,4.7828
2025-08-27,4.491
2025-08-26,4.5274
2025-08-25,4.4164
2025-08-24,4.7855
2025-08-23,4.8858
2025-08-22,4.818
2025-08-21,4.4248
2025-08-20,4.4703
2025-08-19,4.2865
