Date,Price
2026-04-24,636.403
2026-04-23,638.7263
2026-04-22,637.9318
2026-04-21,631.7922
2026-04-20,629.2552
2026-04-19,616.5245
2026-04-18,630.3224
2026-04-17,643.4501
2026-04-16,635.5834
2026-04-15,622.6653
2026-04-02,583.1368
2026-04-01,610.623
2026-03-31,617.0492
2026-03-30,608.5535
2026-03-29,605.6762
2026-03-28,610.7012
2026-03-27,613.2924
2026-03-26,628.9947
2026-03-25,647.3281
2026-03-24,638.2528
2026-03-23,638.5368
2026-03-22,626.6013
2026-03-21,630.1338
2026-03-20,642.1833
2026-03-19,639.2662
2026-03-18,652.0591
2026-03-17,668.7809
2026-03-16,679.3548
2026-03-15,673.7012
2026-03-14,657.8316
2026-03-13,655.882
2026-03-12,652.135
2026-03-11,651.4783
2026-03-10,641.8792
2026-03-09,634.5004
2026-03-08,612.0389
2026-03-07,620.0663
2026-03-06,627.2734
2026-03-05,647.6259
2026-03-04,657.8168
2026-03-03,633.8309
2026-03-02,637.2396
2026-03-01,618.1072
2026-02-28,617.2464
2026-02-27,613.9695
2026-02-26,625.9132
2026-02-25,629.0726
2026-02-24,584.1098
2026-02-23,595.8651
2026-02-22,614.4067
2026-02-21,625.8981
2026-02-20,625.6635
2026-02-19,607.1599
2026-02-18,604.5238
2026-02-17,617.5621
2026-02-16,626.5707
2026-02-15,614.638
2026-02-14,633.3452
2026-02-13,619.0839
2026-02-12,613.7109
2026-02-11,607.1871
2026-02-10,619.5703
2026-02-09,635.9545
2026-02-08,640.2537
2026-02-07,647.3503
2026-02-06,657.4215
2026-02-05,606.5428
2026-02-04,697.8618
2026-02-03,753.5782
2026-02-02,774.5793
2026-02-01,758.4574
2026-01-31,780.4846
2026-01-30,857.2587
2026-01-29,867.0981
2026-01-28,901.3489
2026-01-27,897.6655
2026-01-26,878.7445
2026-01-25,864.7267
2026-01-24,886.1796
2026-01-23,890.7664
2026-01-22,886.9724
2026-01-21,882.5583
2026-01-20,884.6755
2026-01-19,922.4951
2026-01-18,932.5914
2026-01-17,947.0446
2026-01-16,937.5319
2026-01-15,930.8784
2026-01-14,949.1089
2026-01-13,942.4601
2026-01-12,905.4177
