Date,Price
2026-01-02,0.0983
2026-01-01,0.0937
2025-12-31,0.0906
2025-12-30,0.0925
2025-12-29,0.0917
2025-12-28,0.0927
2025-12-27,0.0927
2025-12-26,0.0916
2025-12-25,0.0923
2025-12-24,0.093
2025-12-23,0.0946
2025-12-22,0.0957
2025-12-21,0.0958
2025-12-20,0.096
2025-12-19,0.0953
2025-12-18,0.0902
2025-12-17,0.0913
2025-12-16,0.0956
2025-12-15,0.0963
2025-12-14,0.0968
2025-12-13,0.0996
2025-12-12,0.1004
2025-12-11,0.1018
2025-12-10,0.1038
2025-12-09,0.1059
2025-12-08,0.1035
2025-12-07,0.1036
2025-12-06,0.1041
2025-12-05,0.1037
2025-12-04,0.1064
2025-12-03,0.1103
2025-12-02,0.1088
2025-12-01,0.1019
2025-11-30,0.106
2025-11-29,0.1072
2025-11-28,0.1088
2025-11-27,0.1114
2025-11-26,0.1119
2025-11-25,0.1103
2025-11-24,0.1097
2025-11-23,0.1062
2025-11-22,0.1001
2025-11-21,0.099
2025-11-20,0.1023
2025-11-19,0.1091
2025-11-18,0.1143
2025-11-17,0.104
2025-11-16,0.1095
2025-11-15,0.1151
2025-11-14,0.1135
2025-11-13,0.1227
2025-11-12,0.1251
2025-11-11,0.1254
2025-11-10,0.1365
2025-11-09,0.1278
2025-11-08,0.1252
2025-11-07,0.1296
2025-11-06,0.1225
2025-11-05,0.125
2025-11-04,0.1217
2025-11-03,0.1297
2025-11-02,0.146
2025-11-01,0.1471
2025-10-31,0.1455
2025-10-30,0.1456
2025-10-29,0.1466
2025-10-28,0.1512
2025-10-27,0.1496
2025-10-26,0.1536
2025-10-25,0.1522
2025-10-24,0.1485
2025-10-23,0.1437
2025-10-22,0.1401
2025-10-21,0.1447
2025-10-20,0.1511
2025-10-19,0.1468
2025-10-18,0.1444
2025-10-17,0.143
2025-10-16,0.1476
2025-10-15,0.1573
2025-10-14,0.1633
2025-10-13,0.1728
2025-10-12,0.1729
2025-10-11,0.1558
2025-10-10,0.1476
2025-10-09,0.1932
2025-10-08,0.1986
2025-10-07,0.1952
