Date,Price
2026-04-02,1.2364
2026-04-01,1.255
2026-03-31,1.2516
2026-03-30,1.2423
2026-03-29,1.258
2026-03-28,1.2572
2026-03-27,1.2906
2026-03-26,1.3229
2026-03-25,1.3613
2026-03-24,1.4004
2026-03-23,1.4198
2026-03-22,1.4115
2026-03-21,1.4642
2026-03-20,1.4999
2026-03-19,1.5245
2026-03-18,1.5756
2026-03-17,1.621
2026-03-16,1.6414
2026-03-15,1.4395
2026-03-14,1.4141
2026-03-13,1.4645
2026-03-12,1.5166
2026-03-11,1.5219
2026-03-10,1.4862
2026-03-09,1.4923
2026-03-08,1.4517
2026-03-07,1.4464
2026-03-06,1.4877
2026-03-05,1.5303
2026-03-04,1.5422
2026-03-03,1.5302
2026-03-02,1.5093
2026-03-01,1.5371
2026-02-28,1.6706
2026-02-27,1.5995
2026-02-26,1.6056
2026-02-25,1.6565
2026-02-24,1.2397
2026-02-23,1.2642
2026-02-22,1.3123
2026-02-21,1.3589
2026-02-20,1.3414
2026-02-19,1.2861
2026-02-18,1.3109
2026-02-17,1.3465
2026-02-16,1.3756
2026-02-15,1.3568
2026-02-14,1.4211
2026-02-13,1.3294
2026-02-12,1.2815
2026-02-11,1.2546
2026-02-10,1.2823
2026-02-09,1.3186
2026-02-08,1.3371
2026-02-07,1.3723
2026-02-06,1.3668
2026-02-05,1.2441
2026-02-04,1.4607
2026-02-03,1.493
2026-02-02,1.5428
2026-02-01,1.4969
2026-01-31,1.544
2026-01-30,1.6866
2026-01-29,1.7327
2026-01-28,1.8679
2026-01-27,1.875
2026-01-26,1.8744
2026-01-25,1.8217
2026-01-24,1.9267
2026-01-23,1.9242
2026-01-22,1.9243
2026-01-21,1.9495
2026-01-20,1.8969
2026-01-19,2.0286
2026-01-18,2.0678
2026-01-17,2.1771
2026-01-16,2.1191
2026-01-15,2.117
2026-01-14,2.2261
2026-01-13,2.2817
2026-01-12,2.0523
2026-01-11,2.0662
2026-01-10,2.0901
2026-01-09,2.0802
2026-01-08,2.1099
2026-01-07,2.1431
2026-01-06,2.2341
2026-01-05,2.2084
2026-01-04,2.1398
2026-01-03,2.125
2026-01-02,2.1612
2026-01-01,1.996
2025-12-31,1.7892
2025-12-30,1.8108
2025-12-29,1.8222
2025-12-28,1.8488
2025-12-27,1.9139
2025-12-26,1.7222
2025-12-25,1.6824
2025-12-24,1.7366
2025-12-23,1.7636
2025-12-22,1.7827
2025-12-21,1.8
2025-12-20,1.8328
2025-12-19,1.8489
2025-12-18,1.7585
2025-12-17,1.8117
2025-12-16,1.8985
2025-12-15,1.9019
2025-12-14,1.9549
2025-12-13,2.0397
2025-12-12,2.013
2025-12-11,2.0672
2025-12-10,2.1941
2025-12-09,2.2918
2025-12-08,2.1314
2025-12-07,2.0915
2025-12-06,2.1291
2025-12-05,2.1273
2025-12-04,2.2741
2025-12-03,2.3669
2025-12-02,2.2479
2025-12-01,2.0429
2025-11-30,2.2186
2025-11-29,2.2603
2025-11-28,2.285
2025-11-27,2.3379
2025-11-26,2.3444
2025-11-25,2.2945
2025-11-24,2.3394
2025-11-23,2.2557
2025-11-22,2.3095
2025-11-21,2.3454
2025-11-20,2.5396
2025-11-19,2.6881
2025-11-18,2.7538
2025-11-17,2.6619
2025-11-16,2.7874
2025-11-15,2.8313
2025-11-14,2.8098
2025-11-13,2.8614
2025-11-12,2.9234
2025-11-11,3.0524
2025-11-10,3.261
2025-11-09,3.2329
2025-11-08,3.2495
2025-11-07,3.242
2025-11-06,2.6639
2025-11-05,2.6721
2025-11-04,2.5136
2025-11-03,2.5833
2025-11-02,2.9878
2025-11-01,2.9668
2025-10-31,2.8823
2025-10-30,2.8731
2025-10-29,3.0797
2025-10-28,3.0531
2025-10-27,3.1402
2025-10-26,3.196
2025-10-25,3.0923
2025-10-24,3.0784
2025-10-23,3.0031
2025-10-22,2.922
2025-10-21,3.0065
2025-10-20,3.0875
2025-10-19,3.0078
2025-10-18,2.9325
2025-10-17,2.8919
2025-10-16,3.0151
2025-10-15,3.1387
2025-10-14,3.2507
2025-10-13,3.3771
2025-10-12,3.247
2025-10-11,3.0003
2025-10-10,2.9624
2025-10-09,4.0751
2025-10-08,4.1976
2025-10-07,4.1461
2025-10-06,4.3875
2025-10-05,4.1358
2025-10-04,4.2015
2025-10-03,4.3202
2025-10-02,4.3089
2025-10-01,4.1211
2025-09-30,3.9077
2025-09-29,3.9837
2025-09-28,3.997
2025-09-27,3.8926
2025-09-26,3.9277
2025-09-25,3.8005
2025-09-24,3.9947
2025-09-23,3.9731
2025-09-22,4.0369
2025-09-21,4.271
2025-09-20,4.3581
2025-09-19,4.3585
2025-09-18,4.5375
2025-09-17,4.4005
2025-09-16,4.2554
2025-09-15,4.1528
2025-09-14,4.322
2025-09-13,4.5008
2025-09-12,4.3203
2025-09-11,4.2418
2025-09-10,4.2137
2025-09-09,4.139
2025-09-08,4.0451
2025-09-07,3.9949
2025-09-06,3.8251
2025-09-05,3.8289
2025-09-04,3.7667
2025-09-03,3.8644
2025-09-02,3.817
2025-09-01,3.6891
2025-08-31,3.742
2025-08-30,3.8102
2025-08-29,3.7769
2025-08-28,3.9805
2025-08-27,3.8342
2025-08-26,3.8882
2025-08-25,3.736
2025-08-24,4.1092
2025-08-23,4.2264
2025-08-22,4.1759
2025-08-21,3.7936
2025-08-20,3.8803
2025-08-19,3.7154
2025-08-18,3.9148
2025-08-17,4.0567
2025-08-16,3.9671
2025-08-15,3.8911
2025-08-14,3.989
2025-08-13,4.2818
2025-08-12,4.1487
2025-08-11,3.8637
2025-08-10,4.0634
2025-08-09,4.139
2025-08-08,3.9783
2025-08-07,3.8634
2025-08-06,3.674
2025-08-05,3.6187
2025-08-04,3.7199
2025-08-03,3.604
2025-08-02,3.5065
2025-08-01,3.5525
2025-07-31,3.6886
2025-07-30,3.8067
2025-07-29,3.9029
2025-07-28,3.9484
2025-07-27,4.2397
2025-07-26,4.1248
2025-07-25,4.0889
2025-07-24,4.0001
2025-07-23,4.1155
2025-07-22,4.5472
2025-07-21,4.5035
2025-07-20,4.4913
2025-07-19,4.4151
2025-07-18,4.2292
2025-07-17,4.2669
2025-07-16,4.1578
2025-07-15,4.0787
2025-07-14,3.9508
2025-07-13,3.9873
2025-07-12,3.8889
2025-07-11,3.9172
2025-07-10,3.8834
2025-07-09,3.6188
2025-07-08,3.4486
