Date,Price
2026-01-02,3124.4226
2026-01-01,3000.3943
2025-12-31,2967.0376
2025-12-30,2971.4167
2025-12-29,2934.5383
2025-12-28,2948.5681
2025-12-27,2947.9983
2025-12-26,2925.7456
2025-12-25,2903.5796
2025-12-24,2945.5906
2025-12-23,2963.374
2025-12-22,3006.0737
2025-12-21,3001.6138
2025-12-20,2977.5825
2025-12-19,2977.9707
2025-12-18,2827.0691
2025-12-17,2831.4036
2025-12-16,2964.1809
2025-12-15,2964.1831
2025-12-14,3060.5947
2025-12-13,3116.6953
2025-12-12,3084.1726
2025-12-11,3237.0569
2025-12-10,3325.3901
2025-12-09,3321.115
2025-12-08,3125.198
2025-12-07,3061.3018
2025-12-06,3040.2078
2025-12-05,3024.4329
2025-12-04,3134.3164
2025-12-03,3191.5718
2025-12-02,2997.9397
2025-12-01,2800.189
2025-11-30,2992.1125
2025-11-29,2991.6853
2025-11-28,3032.3044
2025-11-27,3014.5422
2025-11-26,3027.812
2025-11-25,2957.9363
2025-11-24,2952.7134
2025-11-23,2801.676
2025-11-22,2767.6074
2025-11-21,2765.6992
2025-11-20,2831.7776
2025-11-19,3023.0708
2025-11-18,3122.979
2025-11-17,3024.5388
2025-11-16,3092.8474
2025-11-15,3166.6313
2025-11-14,3103.7856
2025-11-13,3232.7571
2025-11-12,3413.0942
2025-11-11,3415.2822
2025-11-10,3568.46
2025-11-09,3582.6213
2025-11-08,3400.376
2025-11-07,3435.301
2025-11-06,3312.2578
2025-11-05,3425.1711
2025-11-04,3292.5745
2025-11-03,3602.3081
2025-11-02,3911.0632
2025-11-01,3874.188
2025-10-31,3847.0803
2025-10-30,3804.3752
2025-10-29,3903.353
2025-10-28,3982.2625
2025-10-27,4120.1221
2025-10-26,4157.9893
2025-10-25,3953.4709
2025-10-24,3934.5674
2025-10-23,3856.0264
2025-10-22,3808.1223
2025-10-21,3876.7642
2025-10-20,3980.7603
2025-10-19,3984.6497
2025-10-18,3890.3462
2025-10-17,3832.5588
2025-10-16,3894.7544
2025-10-15,3987.4595
2025-10-14,4125.4121
2025-10-13,4245.4678
2025-10-12,4164.4277
2025-10-11,3750.6116
2025-10-10,3843.0088
2025-10-09,4369.1436
2025-10-08,4527.6479
2025-10-07,4451.1519
2025-10-06,4687.7715
2025-10-05,4515.4229
2025-10-04,4489.1973
