Date,Price
2026-04-02,0.2476
2026-04-01,0.251
2026-03-31,0.2494
2026-03-30,0.2464
2026-03-29,0.2479
2026-03-28,0.253
2026-03-27,0.2608
2026-03-26,0.2688
2026-03-25,0.2815
2026-03-24,0.2862
2026-03-23,0.2805
2026-03-22,0.2708
2026-03-21,0.2693
2026-03-20,0.2698
2026-03-19,0.2736
2026-03-18,0.2842
2026-03-17,0.3082
2026-03-16,0.3118
2026-03-15,0.3061
2026-03-14,0.2923
2026-03-13,0.2981
2026-03-12,0.2907
2026-03-11,0.2914
2026-03-10,0.2936
2026-03-09,0.2893
2026-03-08,0.3001
2026-03-07,0.2974
2026-03-06,0.3052
2026-03-05,0.3152
2026-03-04,0.3219
2026-03-03,0.3197
2026-03-02,0.3156
2026-03-01,0.3024
2026-02-28,0.312
2026-02-27,0.3059
2026-02-26,0.3136
2026-02-25,0.3273
2026-02-24,0.2961
2026-02-23,0.3032
2026-02-22,0.3281
2026-02-21,0.3335
2026-02-20,0.3252
2026-02-19,0.317
2026-02-18,0.3203
2026-02-17,0.3397
2026-02-16,0.3482
2026-02-15,0.3432
2026-02-14,0.3554
2026-02-13,0.3409
2026-02-12,0.3253
2026-02-11,0.3207
2026-02-10,0.3314
2026-02-09,0.3413
2026-02-08,0.3408
2026-02-07,0.3507
2026-02-06,0.3566
2026-02-05,0.3146
2026-02-04,0.3758
2026-02-03,0.3818
2026-02-02,0.3993
2026-02-01,0.3866
2026-01-31,0.3963
2026-01-30,0.4467
2026-01-29,0.449
2026-01-28,0.4784
2026-01-27,0.484
2026-01-26,0.483
2026-01-25,0.4606
2026-01-24,0.4916
2026-01-23,0.494
2026-01-22,0.5006
2026-01-21,0.5129
2026-01-20,0.4963
2026-01-19,0.5239
2026-01-18,0.5283
2026-01-17,0.5575
2026-01-16,0.5699
2026-01-15,0.5558
2026-01-14,0.5961
2026-01-13,0.5975
2026-01-12,0.549
2026-01-11,0.5525
2026-01-10,0.566
2026-01-09,0.569
2026-01-08,0.5693
2026-01-07,0.5765
2026-01-06,0.5983
2026-01-05,0.5972
2026-01-04,0.5674
2026-01-03,0.5739
2026-01-02,0.5632
2026-01-01,0.54
2025-12-31,0.5175
2025-12-30,0.5252
2025-12-29,0.5242
2025-12-28,0.5417
2025-12-27,0.5661
2025-12-26,0.5273
2025-12-25,0.5185
2025-12-24,0.5259
2025-12-23,0.5213
2025-12-22,0.5275
2025-12-21,0.5311
2025-12-20,0.5431
2025-12-19,0.549
2025-12-18,0.5364
2025-12-17,0.5115
2025-12-16,0.5292
