Date,Price
2023-12-18,1.151
2023-12-17,1.151
2023-12-16,1.1525
2023-12-15,1.1523
2023-12-14,1.1612
2023-12-13,1.1559
2023-12-12,1.1407
2023-12-11,1.1364
2023-12-10,1.1761
2023-12-09,1.1811
2023-12-08,1.1814
2023-12-07,1.1715
2023-12-06,1.1672
2023-12-05,1.1677
2023-12-04,1.1501
2023-12-03,1.1308
2023-12-02,1.1295
2023-12-01,1.116
2023-11-30,1.1014
2023-11-29,1.1027
2023-11-28,1.1074
2023-11-27,1.0901
2023-11-26,1.1031
2023-11-25,1.107
2023-11-24,1.1087
2023-11-23,1.1006
2023-11-22,1.1051
2023-11-21,1.0876
2023-11-20,1.0982
2023-11-19,1.0901
2023-11-18,1.0824
2023-11-17,1.0782
2023-11-16,1.0736
2023-11-15,1.0913
2023-11-14,1.0719
2023-11-13,1.0882
2023-11-12,1.0942
2023-11-11,1.0938
2023-11-10,1.0983
2023-11-09,1.0881
2023-11-08,1.0622
2023-11-07,1.061
2023-11-06,1.0564
2023-11-05,1.0549
2023-11-04,1.0462
2023-11-03,1.0433
2023-11-02,1.042
2023-11-01,1.0507
2023-10-31,1.0418
2023-10-30,1.0395
2023-10-29,1.0402
2023-10-28,1.0342
2023-10-27,1.0317
2023-10-26,1.0358
2023-10-25,1.042
2023-10-24,1.0315
2023-10-23,1.0054
2023-10-22,0.9869
2023-10-21,0.9878
2023-10-20,0.9789
2023-10-19,0.9657
2023-10-17,0.9628
2023-10-16,0.9673
2023-10-15,0.9513
2023-10-14,0.9493
2023-10-13,0.9467
2023-10-12,0.9448
2023-10-11,0.9488
2023-10-10,0.9538
2023-10-09,0.9577
2023-10-08,0.9687
2023-10-07,0.9687
2023-10-06,0.9711
2023-10-05,0.9619
2023-10-04,0.9664
2023-10-03,0.9649
2023-10-02,0.9724
2023-10-01,0.97
2023-09-30,0.9699
2023-09-29,0.967
2023-09-28,0.9675
2023-09-27,0.9506
2023-09-26,0.9489
2023-09-25,0.95
2023-09-24,0.9502
2023-09-23,0.9525
2023-09-22,0.9515
2023-09-21,0.9505
2023-09-20,0.9573
2023-09-19,0.9638
2023-09-18,0.9614
2023-09-17,0.9548
2023-09-16,0.9564
2023-09-15,0.9536
2023-09-14,0.9571
2023-09-13,0.9491
