Date,Price
2026-04-20,2.4297
2026-04-19,2.4182
2026-04-18,2.4585
2026-04-17,2.4681
2026-04-16,2.4375
2026-04-15,2.4002
2026-04-14,2.4254
2026-04-13,2.3507
2026-04-12,2.3589
2026-04-11,2.3921
2026-04-10,2.3764
2026-04-09,2.3472
2026-04-08,2.4272
2026-04-07,2.3559
2026-04-06,2.3857
2026-04-05,2.314
2026-04-04,2.3293
2026-04-03,2.3408
2026-04-02,2.3145
2026-04-01,2.3992
2026-03-31,2.3282
2026-03-30,2.3465
2026-03-29,2.3086
2026-03-28,2.3207
2026-03-27,2.3734
2026-03-26,2.4
2025-03-15,2.0751
2025-03-14,2.0893
2025-03-13,2.1071
2025-03-12,2.0925
2025-03-11,2.0528
2025-03-10,2.1223
2025-03-09,2.2201
2025-03-08,2.2487
2025-03-07,2.3266
2025-03-06,2.2859
2025-03-05,2.1984
2025-03-04,2.1763
2025-03-03,2.3473
2025-03-02,2.1824
2025-03-01,2.177
2025-02-28,2.1938
2025-02-27,2.2097
2025-02-26,2.216
2025-02-25,2.2067
2025-02-24,2.2986
2025-02-23,2.3044
2025-02-22,2.2796
2025-02-21,2.3235
2025-02-20,2.309
2025-02-19,2.294
2025-02-18,2.3651
2025-02-17,2.3473
2025-02-16,2.3496
2025-02-15,2.3645
2025-02-14,2.3288
2025-02-13,2.3684
2025-02-12,2.3351
2025-02-11,2.3322
2025-02-10,2.2953
2025-02-09,2.3111
2025-02-08,2.2934
2025-02-07,2.3267
2025-02-06,2.3472
2025-02-05,2.3867
2025-02-04,2.4674
2025-02-03,2.3585
2025-02-02,2.5028
2025-02-01,2.587
2025-01-31,2.5625
2025-01-30,2.5201
2025-01-29,2.464
2025-01-28,2.5343
2025-01-27,2.6079
2025-01-26,2.5731
2025-01-25,2.5776
2025-01-24,2.5946
2025-01-23,2.5898
2025-01-22,2.6413
2025-01-21,2.5907
2025-01-20,2.5231
2025-01-19,2.4986
2025-01-18,2.5506
2025-01-17,2.4536
2025-01-16,2.3926
2025-01-15,2.3227
2025-01-14,2.2747
2025-01-13,2.2735
2025-01-12,2.2987
2025-01-11,2.3044
2025-01-10,2.2714
2025-01-09,2.3083
2025-01-08,2.3528
2025-01-07,2.4452
2025-01-06,2.4399
2025-01-05,2.4397
2025-01-04,2.4353
2025-01-03,2.3636
2025-01-02,2.3455
2025-01-01,2.2679
2024-12-31,2.2864
2024-12-30,2.3074
2024-12-29,2.3616
2024-12-28,2.3292
2024-12-27,2.3743
2024-12-26,2.45
2024-12-25,2.4995
2024-12-24,2.4594
2024-12-23,2.3498
2024-12-22,2.3331
2024-12-21,2.3858
2024-12-20,2.3695
2024-12-19,2.475
2024-12-18,2.5942
2024-12-17,2.649
2024-12-16,2.6273
2024-12-15,2.6492
2024-12-14,2.6158
2024-12-13,2.6123
2024-12-12,2.4097
2024-12-11,2.3174
2024-12-10,2.3235
2024-12-09,2.4724
2024-12-08,2.4161
2024-12-07,2.4536
2024-12-06,2.3474
2024-12-05,2.3746
2024-12-04,2.3845
2024-12-03,2.3935
2024-12-02,2.0803
2024-12-01,2.0894
2024-11-30,2.0476
2024-11-29,2.0348
2024-11-28,2.0831
2024-11-27,1.9934
2024-11-26,2.0014
2024-11-25,2.0153
2024-11-24,2.0038
2024-11-23,1.9073
2024-11-22,1.8412
2024-11-21,1.8088
2024-11-20,1.8202
2024-11-19,1.8588
2024-11-18,1.7713
2024-11-17,1.8219
2024-11-16,1.7769
2024-11-15,1.732
2024-11-14,1.7453
2024-11-13,1.7833
2024-11-12,1.8167
2024-11-11,1.7922
2024-11-10,1.762
2024-11-09,1.7497
2024-11-08,1.6899
2024-11-07,1.6691
2024-11-06,1.5706
2024-11-05,1.5284
2024-11-04,1.5612
2024-11-03,1.5846
2024-11-02,1.5928
2024-11-01,1.5985
2024-10-31,1.6609
2024-10-30,1.6173
2024-10-29,1.5809
2024-10-28,1.5707
2024-10-27,1.5658
2024-10-26,1.6063
2024-10-24,1.5787
2024-10-23,1.6305
2024-10-22,1.6112
2024-10-21,1.6148
2024-10-20,1.5821
2024-10-19,1.5816
2024-10-18,1.5579
2024-10-17,1.5708
2024-10-16,1.569
2024-10-15,1.5653
2024-10-14,1.538
2024-10-13,1.5547
2024-10-12,1.5488
2024-10-11,1.5169
2024-10-10,1.5116
2024-10-09,1.5356
2024-10-08,1.5624
2024-10-07,1.5534
2024-10-06,1.5531
2024-10-05,1.5444
2024-10-04,1.5111
2024-10-03,1.5081
2024-10-02,1.5394
2024-10-01,1.5998
2024-09-30,1.6395
2024-09-29,1.6522
2024-09-28,1.6393
2024-09-27,1.6345
2024-09-26,1.6117
2024-09-25,1.5987
2024-09-24,1.5589
2024-09-23,1.5251
2024-09-22,1.5533
2024-09-21,1.5596
2024-09-20,1.5438
2024-09-19,1.5045
2024-09-18,1.501
2024-09-17,1.49
2024-09-16,1.5215
2024-09-15,1.5438
2024-09-14,1.5581
2024-09-13,1.5027
2024-09-12,1.4809
2024-09-11,1.4903
2024-09-10,1.4955
2024-09-09,1.4707
2024-09-08,1.4459
2024-09-07,1.4088
2024-09-06,1.4392
2024-09-05,1.4639
2024-09-04,1.4623
2024-09-03,1.4875
2024-09-02,1.477
2024-09-01,1.507
2024-08-31,1.5066
2024-08-30,1.494
2024-08-29,1.5189
2024-08-28,1.5232
2024-08-27,1.5651
2024-08-26,1.581
2024-08-25,1.5861
2024-08-24,1.5753
2024-08-23,1.5222
2024-08-22,1.5161
2024-08-21,1.4427
2024-08-20,1.4279
2024-08-19,1.4431
2024-08-18,1.4325
2024-08-17,1.4347
2024-08-16,1.427
2024-08-15,1.4419
2024-08-14,1.4625
2024-08-13,1.4487
2024-08-12,1.4174
2024-08-11,1.4548
2024-08-10,1.4451
2024-08-09,1.456
2024-08-08,1.3801
2024-08-07,1.4259
2024-08-06,1.3836
2024-08-05,1.4711
2024-08-04,1.5203
2024-08-03,1.536
2024-08-02,1.5814
2024-08-01,1.5869
2024-07-31,1.6078
2024-07-30,1.6295
2024-07-29,1.6106
2024-07-28,1.6311
2024-07-27,1.6239
2024-07-26,1.5861
2024-07-25,1.615
2024-07-24,1.6388
2024-07-23,1.6406
2024-07-22,1.6901
2024-07-21,1.6542
2024-07-20,1.6383
2024-07-19,1.6136
2024-07-18,1.6254
2024-07-17,1.6451
2024-07-16,1.6529
2024-07-15,1.5969
2024-07-14,1.5671
2024-07-13,1.5487
2024-07-12,1.5297
2024-07-11,1.5522
2024-07-10,1.5514
2024-07-09,1.5742
2024-07-08,1.5268
2024-07-07,1.5689
2024-07-06,1.5144
2024-07-05,1.5631
2024-07-04,1.5978
2024-07-03,1.6391
2024-07-02,1.6361
2024-07-01,1.6144
2024-06-30,1.5865
2024-06-29,1.5997
2024-06-28,1.6291
2024-06-27,1.608
2024-06-26,1.6191
2024-06-25,1.5719
2024-06-24,1.5657
2024-06-23,1.5739
2024-06-22,1.593
2024-06-21,1.6199
2024-06-20,1.6204
2024-06-19,1.5895
2024-06-18,1.6333
2024-06-17,1.657
2024-06-16,1.6427
2024-06-15,1.6324
2024-06-14,1.6634
2024-06-13,1.7022
2024-06-12,1.6468
2024-06-11,1.6889
2024-06-10,1.7122
2024-06-09,1.6885
2024-06-08,1.7117
