Date,Price
2026-04-19,1.1653
2026-04-18,1.1653
2026-04-17,1.1651
2026-04-16,1.165
2026-04-15,1.165
2026-04-14,1.1649
2026-04-13,1.1646
2026-04-12,1.1647
2026-04-11,1.1646
2026-04-10,1.1641
2026-04-09,1.1638
2026-04-08,1.1639
2026-04-07,1.1638
2026-04-06,1.1637
2026-04-05,1.1636
2026-04-04,1.1638
2026-04-03,1.1638
2026-04-02,1.1635
2026-04-01,1.1633
2026-03-31,1.1627
2026-03-30,1.1628
2026-03-29,1.1628
2026-03-28,1.1629
2026-03-27,1.1629
2026-03-26,1.1629
2024-04-06,1.0711
2024-04-05,1.0711
2024-04-04,1.071
2024-04-03,1.071
2024-04-02,1.071
2024-04-01,1.0709
2024-03-31,1.0709
2024-03-30,1.0711
2024-03-29,1.0707
2024-03-28,1.0703
2024-03-27,1.0703
2024-03-26,1.0701
2024-03-25,1.0703
2024-03-24,1.0702
2024-03-23,1.0702
2024-03-22,1.07
2024-03-21,1.0701
2024-03-20,1.0697
2024-03-19,1.0699
2024-03-18,1.0696
2024-03-17,1.0696
2024-03-16,1.07
2024-03-15,1.0698
2024-03-14,1.07
2024-03-13,1.0699
2024-03-12,1.0699
2024-03-11,1.0705
2024-03-10,1.0707
2024-03-09,1.0708
2024-03-08,1.0705
2024-03-07,1.0699
2024-03-06,1.0699
2024-03-05,1.0701
2024-03-04,1.0697
2024-03-03,1.07
2024-03-02,1.0699
2024-03-01,1.0698
2024-02-29,1.0696
2024-02-28,1.0694
2024-02-27,1.0693
2024-02-26,1.069
2024-02-25,1.069
2024-02-24,1.0689
2024-02-23,1.0687
2024-02-22,1.0689
2024-02-21,1.0689
2024-02-20,1.0689
2024-02-19,1.0688
2024-02-18,1.0689
2024-02-17,1.0692
2024-02-16,1.0693
2024-02-15,1.0692
2024-02-14,1.0691
2024-02-13,1.0689
2024-02-12,1.0688
2024-02-11,1.0688
2024-02-10,1.0689
2024-02-09,1.0687
2024-02-08,1.0685
2024-02-07,1.0684
2024-02-06,1.0679
2024-02-05,1.0682
2024-02-04,1.0683
2024-02-03,1.0682
2024-02-02,1.0684
2024-02-01,1.0682
2024-01-31,1.0684
2024-01-30,1.0685
2024-01-29,1.0683
2024-01-28,1.0686
2024-01-27,1.0684
2024-01-26,1.0681
2024-01-25,1.0681
2024-01-24,1.0679
2024-01-23,1.0677
2024-01-22,1.068
2024-01-21,1.068
2024-01-20,1.0679
2024-01-19,1.0677
2024-01-18,1.0676
2024-01-17,1.068
2024-01-16,1.0673
2024-01-15,1.0676
2024-01-14,1.0677
2024-01-13,1.0674
2024-01-12,1.0678
2024-01-11,1.0679
2024-01-10,1.0678
2024-01-09,1.068
2024-01-08,1.0678
2024-01-07,1.0678
2024-01-06,1.068
2024-01-05,1.0679
2024-01-04,1.0677
2024-01-03,1.0675
2024-01-02,1.0676
2024-01-01,1.067
2023-12-31,1.0672
2023-12-30,1.0674
2023-12-29,1.0677
2023-12-28,1.0675
2023-12-27,1.0672
2023-12-26,1.0673
2023-12-25,1.0676
2023-12-24,1.0673
2023-12-23,1.0674
2023-12-22,1.0672
2023-12-21,1.067
2023-12-20,1.0667
2023-12-19,1.0668
2023-12-18,1.0663
2023-12-17,1.0664
2023-12-16,1.0671
2023-12-15,1.067
2023-12-14,1.0669
2023-12-13,1.0666
2023-12-12,1.0666
2023-12-11,1.0668
2023-12-10,1.0669
2023-12-09,1.067
2023-12-08,1.0669
2023-12-06,1.0668
2023-12-05,1.0667
2023-12-04,1.0668
2023-12-03,1.0668
2023-12-02,1.0668
2023-12-01,1.0667
2023-11-30,1.0668
2023-11-29,1.0668
2023-11-28,1.0665
2023-11-27,1.0666
2023-11-26,1.0667
2023-11-25,1.0668
2023-11-24,1.0666
2023-11-23,1.0667
2023-11-22,1.0667
2023-11-21,1.0668
2023-11-20,1.0667
2023-11-19,1.0668
2023-11-18,1.0666
2023-11-17,1.0664
2023-11-16,1.0668
2023-11-15,1.0665
2023-11-14,1.0666
2023-11-13,1.0667
2023-11-12,1.0664
2023-11-11,1.0666
