Date,Price
2025-12-31,99.37
2025-12-30,99.37
2025-12-29,99.36
2025-12-24,99.33
2025-12-23,99.32
2025-12-22,99.3
2025-12-19,99.29
2025-12-18,99.3
2025-12-17,99.3
2025-12-16,99.26
2025-12-15,99.26
2025-12-12,99.26
2025-12-11,99.25
2025-12-10,99.24
2025-12-09,99.25
2025-12-08,99.23
2025-12-05,99.24
2025-12-04,99.22
2025-12-03,99.23
2025-12-02,99.23
2025-12-01,99.21
2025-11-28,99.22
2025-11-27,99.22
2025-11-26,99.21
2025-11-25,99.19
2025-11-24,99.17
2025-11-21,99.16
2025-11-20,99.16
2025-11-19,99.17
2025-11-18,99.14
2025-11-17,99.14
2025-11-14,99.14
2025-11-13,99.13
2025-11-12,99.12
2025-11-11,99.11
2025-11-10,99.11
2025-11-07,99.11
2025-11-06,99.1
2025-11-05,99.09
2025-11-04,99.09
2025-11-03,99.08
2025-10-31,99.08
2025-10-30,99.07
2025-10-29,99.06
2025-10-28,99.03
2025-10-27,99.05
2025-10-24,99.0315
2025-10-23,99.04
2025-10-22,99.03
2025-10-21,99.03
2025-10-20,99.03
2025-10-17,99.01
2025-10-16,99.02
2025-10-15,98.98
2025-10-14,98.97
2025-10-13,98.97
2025-10-10,98.97
2025-10-09,98.95
2025-10-08,98.93
2025-10-07,98.93
2025-10-06,98.93
2025-10-03,98.92
2025-10-02,98.91
2025-10-01,98.92
2025-09-30,98.84
2025-09-29,98.89
2025-09-26,98.87
2025-09-25,98.87
2025-09-24,98.83
2025-09-23,98.85
2025-09-22,98.83
2025-09-19,98.84
2025-09-18,98.81
2025-09-17,98.82
2025-09-16,98.82
2025-09-15,98.79
2025-09-12,98.76
2025-09-11,98.8
2025-09-10,98.83
2025-09-09,98.79
2025-09-08,98.79
2025-09-05,98.78
2025-09-04,98.76
2025-09-03,98.74
2025-09-02,98.74
2025-09-01,98.74
2025-08-29,98.73
2025-08-28,98.72
2025-08-27,98.72
2025-08-26,98.71
2025-08-25,98.71
2025-08-22,98.71
2025-08-21,98.7
2025-08-20,98.69
2025-08-19,98.69
2025-08-18,98.68
2025-08-15,98.66
2025-08-14,98.67
2025-08-13,98.67
2025-08-12,98.64
2025-08-11,98.64
2025-08-08,98.64
2025-08-07,98.65
2025-08-06,98.63
2025-08-05,98.66
2025-08-04,98.62
2025-08-01,98.61
2025-07-31,98.6
2025-07-30,98.59
2025-07-29,98.62
2025-07-28,98.59
2025-07-25,98.58
2025-07-24,98.56
2025-07-23,98.59
2025-07-22,98.59
2025-07-21,98.58
2025-07-18,98.58
2025-07-17,98.57
2025-07-16,99.83
2025-07-15,99.78
2025-07-14,99.73
2025-07-11,99.7
2025-07-10,99.71
2025-07-09,99.72
2025-07-08,99.69
2025-07-07,99.7
2025-07-04,99.7
2025-07-03,99.69
2025-07-02,99.66
2025-07-01,99.66
2025-06-30,99.66
2025-06-27,99.64
2025-06-26,99.66
2025-06-25,99.61
2025-06-24,99.61
2025-06-23,99.6
2025-06-20,99.61
2025-06-19,99.6
2025-06-18,99.59
2025-06-17,99.58
2025-06-16,99.62
2025-06-13,99.57
2025-06-12,99.58
2025-06-11,99.56
2025-06-10,99.55
2025-06-09,99.55
2025-06-06,99.54
2025-06-05,99.56
2025-06-04,99.54
2025-06-03,99.53
2025-06-02,99.53
2025-05-30,99.52
2025-05-29,99.51
2025-05-28,99.5
2025-05-27,99.48
2025-05-26,99.49
2025-05-23,99.49
2025-05-22,99.47
2025-05-21,99.43
2025-05-20,99.43
2025-05-19,99.42
2025-05-16,99.42
2025-05-15,99.4
2025-05-14,99.39
2025-05-13,99.38
2025-05-12,99.38
2025-05-09,99.41
2025-05-08,99.4
2025-05-07,99.4
2025-05-06,99.37
2025-05-05,99.37
2025-05-02,99.35
2025-04-30,99.36
2025-04-29,99.35
2025-04-28,99.33
2025-04-25,99.34
2025-04-24,99.32
2025-04-23,99.3
2025-04-22,99.31
2025-04-17,99.21
2025-04-16,99.26
2025-04-15,99.24
2025-04-14,99.23
2025-04-11,99.19
2025-04-10,99.15
2025-04-09,99.19
2025-04-08,99.17
2025-04-07,99.08
2025-04-04,99.15
2025-04-03,99.12
2025-04-02,99.09
2025-04-01,99.07
2025-03-31,99.0
2025-03-28,99.07
2025-03-27,99.06
2025-03-26,99.03
2025-03-25,99.02
2025-03-24,99.01
2025-03-21,99.0
2025-03-20,98.99
2025-03-19,98.96
2025-03-18,98.95
2025-03-17,98.91
2025-03-14,98.95
2025-03-13,98.94
2025-03-12,98.86
2025-03-11,98.91
2025-03-10,98.9
2025-03-07,98.9
2025-03-06,98.83
2025-03-05,98.82
2025-03-04,98.89
2025-03-03,98.86
2025-02-28,98.88
2025-02-27,98.84
2025-02-26,98.84
2025-02-25,98.84
2025-02-24,98.82
2025-02-21,98.83
2025-02-20,98.8
2025-02-19,98.78
2025-02-18,98.77
2025-02-17,98.76
2025-02-14,98.77
2025-02-13,98.77
2025-02-12,98.73
2025-02-11,98.74
2025-02-10,98.74
2025-02-07,98.71
2025-02-06,98.73
2025-02-05,98.72
2025-02-04,98.69
2025-02-03,98.68
2025-01-31,98.65
2025-01-30,98.63
2025-01-29,98.58
2025-01-28,98.57
2025-01-27,98.56
2025-01-24,98.56
2025-01-23,98.55
2025-01-22,98.51
2025-01-21,98.55
2025-01-20,98.54
2025-01-17,98.52
2025-01-16,98.52
2025-01-15,100.09
2025-01-14,100.03
2025-01-13,99.98
2025-01-10,100.03
2025-01-09,100.03
2025-01-08,100.03
2025-01-07,100.02
2025-01-06,100.03
2025-01-03,100.02
2025-01-02,100.03
2024-12-31,100.02
2024-12-30,100.02
2024-12-27,99.97
2024-12-24,99.78
2024-12-23,99.92
2024-12-20,99.92
2024-12-19,99.93
2024-12-18,100.03
2024-12-17,99.91
2024-12-16,99.85
2024-12-13,99.87
2024-12-12,99.89
2024-12-11,99.88
2024-12-10,99.87
2024-12-09,99.8
2024-12-06,99.84
2024-12-05,99.81
2024-12-04,99.81
2024-12-03,99.85
2024-12-02,99.83
2024-11-29,99.79
2024-11-28,99.78
2024-11-27,99.75
2024-11-26,99.73
2024-11-25,99.75
2024-11-22,99.75
2024-11-21,99.67
2024-11-20,99.65
2024-11-19,99.64
2024-11-18,99.64
2024-11-15,99.65
2024-11-14,99.62
2024-11-13,99.6
2024-11-12,99.58
2024-11-11,99.56
2024-11-08,99.56
2024-11-07,99.51
2024-11-06,99.52
2024-11-05,99.49
2024-11-04,99.49
2024-11-01,99.47
2024-10-31,99.46
2024-10-30,99.46
2024-10-29,99.45
2024-10-28,99.46
2024-10-25,99.48
2024-10-24,99.44
2024-10-23,99.41
2024-10-22,99.39
2024-10-21,99.38
2024-10-18,99.38
2024-10-17,99.35
2024-10-16,99.3
2024-10-15,99.29
2024-10-14,99.28
2024-10-11,99.25
2024-10-10,99.28
2024-10-09,99.27
2024-10-08,99.26
2024-10-07,99.26
2024-10-04,99.25
2024-10-03,99.26
2024-10-02,99.24
2024-10-01,99.23
2024-09-30,99.2
2024-09-27,99.21
2024-09-26,99.18
2024-09-25,99.16
2024-09-24,99.14
2024-09-23,99.11
2024-09-20,99.07
2024-09-19,99.06
2024-09-18,99.05
2024-09-17,99.02
2024-09-16,99.02
2024-09-13,99.02
2024-09-12,99.01
2024-09-11,98.99
2024-09-10,98.97
2024-09-09,98.97
2024-09-06,98.97
2024-09-05,98.92
2024-09-04,98.91
2024-09-03,98.88
2024-09-02,98.86
2024-08-30,98.88
2024-08-29,98.85
2024-08-28,98.83
2024-08-27,98.81
2024-08-26,98.8
2024-08-23,98.8
2024-08-22,98.78
2024-08-21,98.76
2024-08-20,98.75
2024-08-19,98.72
2024-08-16,98.73
2024-08-15,98.69
2024-08-14,98.73
2024-08-13,98.73
2024-08-12,98.71
2024-08-09,98.68
2024-08-08,98.66
2024-08-07,98.65
2024-08-06,98.65
2024-08-05,98.65
2024-08-02,98.65
2024-08-01,98.55
2024-07-31,98.54
2024-07-30,98.52
2024-07-29,98.54
2024-07-26,98.5
2024-07-25,98.47
2024-07-24,98.44
2024-07-23,98.44
2024-07-22,98.41
2024-07-19,98.39
2024-07-18,98.39
2024-07-17,99.99
2024-07-16,99.99
2024-07-15,99.97
2024-07-12,99.92
2024-07-11,99.9
2024-07-10,99.89
2024-07-09,99.88
2024-07-08,99.86
2024-07-05,99.85
2024-07-04,99.84
2024-07-03,99.84
2024-07-02,99.79
2024-07-01,99.79
2024-06-28,99.77
2024-06-27,99.8
2024-06-26,99.71
2024-06-25,99.73
2024-06-24,99.72
2024-06-21,99.75
2024-06-20,99.77
2024-06-19,99.68
2024-06-18,99.69
2024-06-17,99.66
2024-06-14,99.67
2024-06-13,99.64
2024-06-12,99.62
2024-06-11,99.54
2024-06-10,99.52
2024-06-07,99.57
2024-06-06,99.56
2024-06-05,99.53
2024-06-04,99.53
2024-06-03,99.5
2024-05-31,99.51
2024-05-30,99.44
2024-05-29,99.41
2024-05-28,99.45
2024-05-27,99.44
2024-05-24,99.39
2024-05-23,99.38
2024-05-22,99.4
2024-05-21,99.37
2024-05-20,99.36
2024-05-17,99.35
2024-05-16,99.35
2024-05-15,99.31
2024-05-14,99.31
2024-05-13,99.36
2024-05-10,99.27
2024-05-09,99.28
2024-05-08,99.26
2024-05-07,99.27
2024-05-06,99.35
2024-05-03,99.24
2024-05-02,99.19
2024-04-30,99.17
2024-04-29,99.18
2024-04-26,99.13
2024-04-25,99.1
2024-04-24,99.08
2024-04-23,99.1
2024-04-22,99.11
2024-04-19,99.08
2024-04-18,99.03
2024-04-17,99.01
2024-04-16,99.01
2024-04-15,99.05
2024-04-12,99.04
2024-04-11,98.98
2024-04-10,98.98
2024-04-09,98.98
2024-04-08,98.97
2024-04-05,98.97
2024-04-04,98.96
2024-04-03,98.91
2024-04-02,98.92
2024-03-28,98.9
2024-03-27,98.9
2024-03-26,98.86
2024-03-25,98.83
2024-03-22,98.83
2024-03-21,98.8
2024-03-20,98.74
2024-03-19,98.76
2024-03-18,98.72
2024-03-15,98.73
2024-03-14,98.7
2024-03-13,98.7
2024-03-12,98.67
2024-03-11,98.69
2024-03-08,98.7
2024-03-07,98.67
2024-03-06,98.64
2024-03-05,98.65
2024-03-04,98.62
2024-03-01,98.62
2024-02-29,98.59
2024-02-28,98.56
2024-02-27,98.55
2024-02-26,98.54
2024-02-23,98.54
2024-02-22,98.5
2024-02-21,98.49
2024-02-20,98.48
2024-02-19,98.47
2024-02-16,98.5
2024-02-15,98.48
2024-02-14,98.42
2024-02-13,98.44
2024-02-12,98.41
2024-02-09,98.39
2024-02-08,98.39
2024-02-07,98.37
2024-02-06,98.4
2024-02-05,98.36
2024-02-02,98.39
2024-02-01,98.41
2024-01-31,98.35
2024-01-30,98.35
2024-01-29,98.35
2024-01-26,98.36
2024-01-25,98.32
2024-01-24,98.26
2024-01-23,98.26
2024-01-22,98.26
2024-01-19,98.26
2024-01-18,98.23
2024-01-17,98.21
2024-01-16,98.23
2024-01-15,98.23
2024-01-12,98.22
2024-01-11,98.18
2024-01-10,98.7
2024-01-09,98.7
2024-01-08,98.72
2024-01-05,98.67
2024-01-04,98.7
2024-01-03,98.72
2024-01-02,98.71
2023-12-29,98.71
2023-12-28,98.69
2023-12-27,98.62
2023-12-22,98.65
2023-12-21,98.62
2023-12-20,98.58
2023-12-19,98.55
2023-12-18,98.55
2023-12-15,98.56
2023-12-14,98.55
2023-12-13,98.49
2023-12-12,98.49
2023-12-11,98.49
2023-12-08,98.47
2023-12-07,98.47
2023-12-06,98.46
2023-12-05,98.48
2023-12-04,98.44
2023-12-01,98.46
2023-11-30,98.34
2023-11-29,98.36
2023-11-28,98.32
2023-11-27,98.28
2023-11-24,98.25
2023-11-23,98.27
2023-11-22,98.26
2023-11-21,98.24
2023-11-20,98.21
2023-11-17,98.23
2023-11-16,98.22
2023-11-15,98.19
2023-11-14,98.17
2023-11-13,98.12
2023-11-10,98.15
2023-11-09,98.16
2023-11-08,98.14
2023-11-07,98.09
2023-11-06,98.11
2023-11-03,98.12
2023-11-02,98.1
2023-11-01,98.07
2023-10-31,98.05
2023-10-30,98.07
2023-10-27,98.0
2023-10-26,97.99
2023-10-25,97.95
2023-10-24,97.93
2023-10-23,97.98
2023-10-20,97.95
2023-10-19,97.89
2023-10-18,97.9
2023-10-17,97.87
2023-10-16,97.9
2023-10-13,97.88
2023-10-12,97.85
2023-10-11,97.84
2023-10-10,97.83
2023-10-09,97.83
2023-10-06,97.79
2023-10-05,97.82
2023-10-04,97.75
2023-10-03,97.78
2023-10-02,97.74
2023-09-29,97.74
2023-09-28,97.69
2023-09-27,97.7
2023-09-26,97.69
2023-09-25,97.65
2023-09-22,97.65
2023-09-21,97.64
2023-09-20,97.6
2023-09-19,97.58
2023-09-18,97.61
2023-09-15,97.6
2023-09-14,97.6
2023-09-13,97.56
2023-09-12,97.6
2023-09-11,97.6
2023-09-08,97.57
2023-09-07,97.58
2023-09-06,97.52
2023-09-05,97.58
2023-09-04,97.57
2023-09-01,97.57
2023-08-31,97.57
2023-08-30,97.52
2023-08-29,97.51
2023-08-28,97.49
2023-08-25,97.5
2023-08-24,97.5
2023-08-23,97.48
2023-08-22,97.42
2023-08-21,97.42
2023-08-18,97.41
2023-08-17,97.4
2023-08-16,97.37
2023-08-15,97.38
2023-08-14,97.38
2023-08-11,97.37
2023-08-10,97.36
2023-08-09,97.34
2023-08-08,97.34
2023-08-07,97.32
2023-08-04,97.32
2023-08-03,97.27
2023-08-02,97.29
2023-08-01,97.27
2023-07-31,97.25
2023-07-28,97.27
2023-07-27,97.23
2023-07-26,97.19
2023-07-25,97.19
2023-07-24,97.18
2023-07-21,97.19
2023-07-20,97.17
2023-07-19,97.14
2023-07-18,97.12
2023-07-17,97.09
2023-07-14,97.09
2023-07-13,97.1
2023-07-12,97.04
2023-07-11,97.02
2023-07-10,97.04
2023-07-07,97.01
2023-07-06,97.02
2023-07-05,96.99
2023-07-04,97.01
2023-07-03,96.99
2023-06-30,96.97
2023-06-29,96.98
2023-06-28,96.96
2023-06-27,96.94
2023-06-26,96.96
2023-06-23,96.93
2023-06-22,96.89
2023-06-21,96.92
2023-06-20,96.91
2023-06-19,96.92
2023-06-16,96.91
2023-06-15,96.91
2023-06-14,96.94
2023-06-13,96.92
2023-06-12,96.94
2023-06-09,96.92
2023-06-08,96.9
2023-06-07,96.9
2023-06-06,96.89
2023-06-05,96.89
2023-06-02,96.9
2023-06-01,96.92
2023-05-31,96.91
2023-05-30,96.87
2023-05-29,96.86
2023-05-26,96.85
2023-05-25,96.82
2023-05-24,96.78
2023-05-23,96.82
2023-05-22,96.83
2023-05-19,96.78
2023-05-18,96.77
2023-05-17,96.77
2023-05-16,96.76
2023-05-15,96.79
2023-05-12,96.76
2023-05-11,96.77
2023-05-10,96.75
2023-05-09,96.73
2023-05-08,96.76
2023-05-05,96.76
2023-05-04,96.72
2023-05-03,96.67
2023-05-02,96.7
2023-04-28,96.71
2023-04-27,96.6
2023-04-26,96.64
2023-04-25,96.64
2023-04-24,96.58
2023-04-21,96.62
2023-04-20,96.57
2023-04-19,96.55
2023-04-18,96.61
2023-04-17,96.61
2023-04-14,96.58
2023-04-13,96.61
2023-04-12,96.62
2023-04-11,96.61
2023-04-06,96.62
2023-04-05,96.62
2023-04-04,96.55
2023-04-03,96.54
2023-03-31,96.55
2023-03-30,96.47
2023-03-29,96.54
2023-03-28,96.5
2023-03-27,96.53
2023-03-24,96.54
2023-03-23,96.44
2023-03-22,96.47
2023-03-21,96.49
2023-03-20,96.54
2023-03-17,96.52
2023-03-16,96.49
2023-03-15,96.46
2023-03-14,96.37
2023-03-13,96.45
2023-03-10,96.3
2023-03-09,96.26
2023-03-08,96.21
2023-03-07,96.25
2023-03-06,96.24
2023-03-03,96.26
2023-03-02,96.26
2023-03-01,96.24
2023-02-28,96.23
2023-02-27,96.2
2023-02-24,96.22
2023-02-23,96.19
2023-02-22,96.17
2023-02-21,96.23
2023-02-20,96.21
2023-02-17,96.21
2023-02-16,96.2
2023-02-15,96.16
2023-02-14,96.21
2023-02-13,96.17
2023-02-10,96.17
2023-02-09,96.22
2023-02-08,96.21
2023-02-07,96.21
2023-02-06,96.21
2023-02-03,96.28
2023-02-02,96.18
2023-02-01,96.2
2023-01-31,96.24
2023-01-30,96.17
2023-01-27,96.19
2023-01-26,96.19
2023-01-25,96.13
2023-01-24,96.18
2023-01-23,96.16
2023-01-20,96.17
2023-01-19,96.15
2023-01-18,96.15
2023-01-17,96.07
2023-01-16,96.14
2023-01-13,96.13
2023-01-12,96.13
2023-01-11,96.04
2023-01-10,96.08
2023-01-09,96.1
2023-01-06,96.02
2023-01-05,96.01
2023-01-04,96.03
2023-01-03,96.02
2023-01-02,96.11
