Date,Price
2026-01-02,67.23
2025-12-31,64.31
2025-12-30,65.0
2025-12-29,65.35
2025-12-26,66.16
2025-12-24,65.98
2025-12-23,65.96
2025-12-22,65.8
2025-12-19,64.26
2025-12-18,62.94
2025-12-17,62.45
2025-12-16,63.06
2025-12-15,62.87
2025-12-12,64.15
2025-12-11,66.06
2025-12-10,66.67
2025-12-09,65.56
2025-12-08,65.81
2025-12-05,64.5
2025-12-04,65.95
2025-12-03,64.96
2025-12-02,63.59
2025-12-01,63.54
2025-11-28,65.02
2025-11-26,64.19
2025-11-25,63.17
2025-11-24,62.43
2025-11-21,61.05
2025-11-20,61.56
2025-11-19,64.56
2025-11-18,63.27
2025-11-17,63.41
2025-11-14,66.03
2025-11-13,67.04
2025-11-12,72.7
2025-11-11,70.87
2025-11-10,71.13
2025-11-07,70.54
2025-11-06,69.86
2025-11-05,71.62
2025-11-04,70.69
2025-11-03,73.08
2025-10-31,70.36
2025-10-30,68.51
2025-10-29,69.19
2025-10-28,68.65
2025-10-27,69.49
2025-10-24,68.75
2025-10-23,67.17
2025-10-22,64.77
2025-10-21,66.27
2025-10-20,66.94
2025-10-17,66.23
2025-10-16,68.52
2025-10-15,69.77
2025-10-14,69.36
2025-10-13,70.52
2025-10-10,69.01
2025-10-09,72.62
2025-10-08,72.05
2025-10-07,69.35
2025-10-06,69.61
2025-10-03,70.36
2025-10-02,70.95
2025-10-01,68.78
2025-09-30,68.81
2025-09-29,68.8
2025-09-26,66.12
2025-09-25,64.97
2025-09-24,64.46
2025-09-23,65.49
2025-09-22,64.22
2025-09-19,65.03
2025-09-18,64.92
2025-09-17,62.34
2025-09-16,62.48
2025-09-15,62.25
2025-09-12,63.7
2025-09-11,63.34
2025-09-10,62.51
2025-09-09,62.21
2025-09-08,61.11
2025-09-05,60.16
2025-09-04,64.28
2025-09-03,63.95
2025-09-02,63.9
2025-08-29,62.24
2025-08-28,62.78
2025-08-27,61.79
2025-08-26,63.3
2025-08-25,62.76
2025-08-22,62.4
2025-08-21,62.47
2025-08-20,62.46
2025-08-19,62.41
2025-08-18,63.64
2025-08-15,63.31
2025-08-14,63.92
2025-08-13,63.49
2025-08-12,67.63
2025-08-11,66.18
2025-08-08,65.91
2025-08-07,64.25
2025-08-06,63.82
2025-08-05,63.71
2025-08-04,64.9
2025-08-01,63.61
2025-07-31,65.56
2025-07-30,66.22
2025-07-29,65.2
2025-07-28,65.39
2025-07-25,65.5
2025-07-24,64.7
2025-07-23,63.32
2025-07-22,62.25
2025-07-21,62.0
2025-07-18,64.05
2025-07-17,59.43
2025-07-16,59.45
2025-07-15,59.63
2025-07-14,59.6
2025-07-11,58.6
2025-07-10,58.92
2025-07-09,57.84
2025-07-08,56.62
2025-07-07,57.78
2025-07-03,57.98
2025-07-02,58.22
2025-07-01,56.32
2025-06-30,55.41
2025-06-27,53.96
2025-06-26,53.41
2025-06-25,52.26
2025-06-24,51.64
2025-06-23,50.53
2025-06-20,51.34
2025-06-18,52.6
2025-06-17,52.0425
2025-06-16,52.415
2025-06-13,50.54
2025-06-12,51.245
2025-06-11,51.1275
2025-06-10,51.2625
2025-06-09,51.1675
2025-06-06,52.9575
2025-06-05,51.705
2025-06-04,51.5075
2025-06-03,51.9775
2025-06-02,52.05
2025-05-30,52.42
2025-05-29,52.325
2025-05-28,52.7025
2025-05-27,53.1325
2025-05-23,51.6525
2025-05-22,51.68
2025-05-21,51.3175
2025-05-20,52.585
2025-05-19,52.0
2025-05-16,52.2875
2025-05-15,51.7475
2025-05-14,50.875
2025-05-13,50.695
2025-05-12,49.31
2025-05-09,46.4
2025-05-08,46.1225
2025-05-07,44.9475
2025-05-06,44.58
2025-05-05,44.885
2025-05-02,45.3875
2025-05-01,43.585
2025-04-30,42.9625
2025-04-29,42.945
2025-04-28,42.3375
2025-04-25,42.32
2025-04-24,42.2625
2025-04-23,40.4275
2025-04-22,39.37
2025-04-21,38.3775
2025-04-17,39.88
2025-04-16,39.475
2025-04-15,43.3575
2025-04-14,43.2475
2025-04-11,42.8375
2025-04-10,41.0775
2025-04-09,42.68
2025-04-08,36.755
2025-04-07,36.0725
2025-04-04,36.52
2025-04-03,39.87
2025-04-02,43.5775
2025-04-01,43.27
2025-03-31,41.3975
2025-03-28,41.18
2025-03-27,42.25
2025-03-26,43.485
2025-03-25,44.85
2025-03-24,44.985
2025-03-21,43.34
2025-03-20,43.965
2025-03-19,44.5375
2025-03-18,43.1725
2025-03-17,43.6
2025-03-14,42.0275
2025-03-13,40.2575
2025-03-12,42.785
2025-03-11,42.585
2025-03-10,41.79
2025-03-07,48.0425
2025-03-06,47.425
2025-03-05,49.1725
2025-03-04,49.0075
2025-03-03,50.3825
2025-02-28,51.1
2025-02-27,50.875
2025-02-26,51.665
2025-02-25,50.235
2025-02-24,53.6525
2025-02-21,54.6825
2025-02-20,56.5
2025-02-19,58.1625
2025-02-18,58.8825
2025-02-14,58.53
2025-02-13,58.7125
2025-02-12,57.55
2025-02-11,55.3675
