Date,Price
2026-04-02,0.163
2026-04-01,0.1693
2026-03-31,0.1673
2026-03-30,0.1673
2026-03-29,0.1645
2026-03-28,0.1679
2026-03-27,0.1673
2026-03-26,0.1739
2026-03-25,0.1774
2026-03-24,0.1738
2026-03-23,0.1668
2026-03-22,0.1559
2026-03-21,0.1621
2026-03-20,0.1655
2026-03-19,0.1654
2026-03-18,0.17
2026-03-17,0.1737
2026-03-16,0.1762
2026-03-15,0.1691
2026-03-14,0.1666
2026-03-13,0.1639
2026-03-12,0.1602
2026-03-11,0.1592
2026-03-10,0.1586
2026-03-09,0.1507
2026-03-08,0.1484
2026-03-07,0.1504
2026-03-06,0.1522
2026-03-05,0.1568
2026-03-04,0.1596
2026-03-03,0.1515
2026-03-02,0.1556
2026-03-01,0.1542
2026-02-28,0.1592
2026-02-27,0.1589
2026-02-26,0.1621
2026-02-25,0.1626
2026-02-24,0.1498
2026-02-23,0.1513
2026-02-22,0.1549
2026-02-21,0.1611
2026-02-20,0.1627
2026-02-19,0.1588
2026-02-18,0.1613
2026-02-17,0.1656
2026-02-16,0.1697
2026-02-15,0.1703
2026-02-14,0.1746
2026-02-13,0.1646
2026-02-12,0.1563
2026-02-11,0.1545
2026-02-10,0.1584
2026-02-09,0.1595
2026-02-08,0.1616
2026-02-07,0.1619
2026-02-06,0.164
2026-02-05,0.1467
2026-02-04,0.171
2026-02-03,0.1752
2026-02-02,0.1787
2026-02-01,0.175
2026-01-31,0.1808
2026-01-30,0.1916
2026-01-29,0.1986
2026-01-28,0.2102
2026-01-27,0.2083
2026-01-26,0.2072
2026-01-25,0.203
2026-01-24,0.2115
2026-01-23,0.212
2026-01-22,0.2114
2026-01-21,0.2123
2026-01-20,0.2071
2026-01-19,0.2155
2026-01-18,0.2182
2026-01-17,0.2306
2026-01-16,0.2262
2026-01-15,0.2283
2026-01-14,0.2362
2026-01-13,0.2382
2026-01-12,0.2192
2026-01-11,0.2242
2026-01-10,0.2262
2026-01-09,0.2279
2026-01-08,0.2302
2026-01-07,0.234
2026-01-06,0.244
2026-01-05,0.253
2026-01-04,0.2325
2026-01-03,0.222
2026-01-02,0.2188
