Date,Price
2026-02-14,2271.4743
2026-02-13,2230.5375
2026-02-12,2119.8108
2026-02-11,2112.8139
2026-02-10,2198.569
2026-02-09,2289.9713
2026-02-08,2273.7322
2026-02-07,2275.547
2026-02-06,2245.8533
2026-02-05,1982.5973
2026-02-04,2332.7066
2026-02-03,2424.0428
2026-02-02,2551.0053
2026-02-01,2467.7328
2026-01-31,2660.2388
2026-01-30,2939.9985
2026-01-29,3065.8708
2026-01-28,3270.6239
2026-01-27,3287.4215
2026-01-26,3183.0914
2026-01-25,3062.6725
2026-01-24,3206.978
2026-01-23,3211.716
2026-01-22,3207.6008
2026-01-21,3239.2482
2026-01-20,3191.9894
2026-01-19,3464.7327
2026-01-18,3567.3159
2026-01-17,3597.2361
2026-01-16,3582.4846
2026-01-15,3605.7815
2026-01-14,3646.4684
2026-01-13,3610.7958
2026-01-12,3360.8653
2026-01-11,3389.5387
2026-01-10,3349.692
2026-01-09,3350.2055
2026-01-08,3373.1937
2026-01-07,3440.8635
2026-01-06,3580.9267
2026-01-05,3504.8678
2026-01-04,3411.8693
2026-01-03,3395.6024
2026-01-02,3393.7783
2026-01-01,3258.8652
2025-12-31,3222.4452
2025-12-30,3227.0091
2025-12-29,3186.7708
2025-12-28,3201.8179
2025-12-27,3201.0116
2025-12-26,3176.6629
2025-12-25,3152.4094
2025-12-24,3197.8317
2025-12-23,3216.9488
2025-12-22,3263.1089
2025-12-21,3258.0754
2025-12-20,3231.8016
2025-12-19,3232.0312
2025-12-18,3068.058
2025-12-17,3072.5792
2025-12-16,3216.4772
2025-12-15,3216.2881
2025-12-14,3320.707
2025-12-13,3381.3798
2025-12-12,3345.8988
2025-12-11,3511.5518
2025-12-10,3607.1636
2025-12-09,3602.313
2025-12-08,3389.6093
2025-12-07,3320.1093
2025-12-06,3297.0397
2025-12-05,3279.7409
2025-12-04,3398.6999
2025-12-03,3460.5956
2025-12-02,3250.4422
2025-12-01,3035.8523
2025-11-30,3243.7308
2025-11-29,3243.0777
2025-11-28,3286.9148
2025-11-27,3267.4664
2025-11-26,3281.6483
2025-11-25,3205.725
