Date,Price
2026-02-14,2559.5867
2026-02-13,2513.4325
2026-02-12,2388.6391
2026-02-11,2380.7309
2026-02-10,2477.3357
2026-02-09,2580.3021
2026-02-08,2561.979
2026-02-07,2563.9972
2026-02-06,2530.5132
2026-02-05,2233.8532
2026-02-04,2628.3035
2026-02-03,2731.1854
2026-02-02,2874.2065
2026-02-01,2780.3536
2026-01-31,2997.2011
2026-01-30,3312.3635
2026-01-29,3454.1427
2026-01-28,3684.7905
2026-01-27,3703.679
2026-01-26,3586.1029
2026-01-25,3450.4029
2026-01-24,3612.9416
2026-01-23,3618.2437
2026-01-22,3613.5716
2026-01-21,3649.1875
2026-01-20,3595.9109
2026-01-19,3903.1278
2026-01-18,4018.6488
2026-01-17,4052.3129
2026-01-16,4035.6533
2026-01-15,4061.855
2026-01-14,4107.6453
2026-01-13,4067.4183
2026-01-12,3785.8419
2026-01-11,3818.1012
2026-01-10,3773.1771
2026-01-09,3773.7157
2026-01-08,3799.5694
2026-01-07,3875.7516
2026-01-06,4033.4739
2026-01-05,3947.7605
2026-01-04,3842.9694
2026-01-03,3824.6067
2026-01-02,3822.5109
2026-01-01,3670.5148
2025-12-31,3629.4551
2025-12-30,3634.5559
2025-12-29,3589.1972
2025-12-28,3606.1056
2025-12-27,3605.1588
2025-12-26,3577.6977
2025-12-25,3550.3438
2025-12-24,3601.461
2025-12-23,3622.952
2025-12-22,3674.8981
2025-12-21,3669.1897
2025-12-20,3639.5616
2025-12-19,3639.7807
2025-12-18,3455.08
2025-12-17,3460.1339
2025-12-16,3622.1433
2025-12-15,3621.8909
2025-12-14,3739.4381
2025-12-13,3807.7213
2025-12-12,3767.7263
2025-12-11,3954.2213
2025-12-10,4061.8423
2025-12-09,4056.3363
2025-12-08,3816.7832
2025-12-07,3738.4837
2025-12-06,3712.4675
2025-12-05,3692.9495
2025-12-04,3826.8547
2025-12-03,3896.5086
2025-12-02,3659.8422
2025-12-01,3418.1863
2025-11-30,3652.2042
2025-11-29,3651.4297
2025-11-28,3700.7462
2025-11-27,3678.809
2025-11-26,3694.7349
2025-11-25,3609.2154
2025-11-24,3602.5904
2025-11-23,3418.0722
2025-11-22,3376.273
2025-11-21,3373.696
2025-11-20,3453.9699
2025-11-19,3686.9919
2025-11-18,3808.5708
2025-11-17,3688.2403
2025-11-16,3771.2641
2025-11-15,3860.9633
2025-11-14,3784.0665
2025-11-13,3941.0072
2025-11-12,4160.563
2025-11-11,4162.9409
2025-11-10,4349.3392
2025-11-09,4366.2909
2025-11-08,4143.8963
2025-11-07,4186.1601
2025-11-06,4035.9302
2025-11-05,4173.2203
2025-11-04,4011.3388
2025-11-03,4388.3659
2025-11-02,4764.1303
2025-11-01,4718.8895
2025-10-31,4685.5463
2025-10-30,4633.2079
2025-10-29,4753.4148
2025-10-28,4849.1732
2025-10-27,5016.6964
2025-10-26,5062.4461
2025-10-25,4813.1093
2025-10-24,4789.7618
2025-10-23,4693.8232
2025-10-22,4635.1867
2025-10-21,4718.394
2025-10-20,4844.6236
2025-10-19,4849.0157
2025-10-18,4733.922
2025-10-17,4663.2728
2025-10-16,4738.6025
2025-10-15,4851.0486
2025-10-14,5018.5167
2025-10-13,5164.1874
2025-10-12,5065.2394
2025-10-11,4561.5826
2025-10-10,4673.0561
2025-10-09,5312.4457
2025-10-08,5504.779
2025-10-07,5411.3868
2025-10-06,5698.5596
2025-10-05,5488.6654
2025-10-04,5456.4044
2025-10-03,5487.2211
2025-10-02,5454.0871
2025-10-01,5287.4499
2025-09-30,5037.7938
2025-09-29,5124.1691
2025-09-28,5031.6404
2025-09-27,4882.0829
2025-09-26,4902.6403
2025-09-25,4698.7653
2025-09-24,5044.7577
2025-09-23,5059.0079
2025-09-22,5104.0253
2025-09-21,5405.3566
2025-09-20,5442.5452
2025-09-19,5428.3709
2025-09-18,5572.4407
2025-09-17,5575.4538
2025-09-16,5466.8187
2025-09-15,5494.6575
2025-09-14,5594.7355
2025-09-13,5665.4341
2025-09-12,5722.1413
2025-09-11,5413.4965
2025-09-10,5277.1032
2025-09-09,5228.0517
2025-09-08,5226.5034
2025-09-07,5222.8296
2025-09-06,5184.7298
2025-09-05,5224.0778
2025-09-04,5213.6908
2025-09-03,5397.2287
2025-09-02,5245.2153
2025-09-01,5231.6053
2025-08-31,5322.808
2025-08-30,5303.1739
2025-08-29,5285.8189
2025-08-28,5463.6662
2025-08-27,5458.6812
2025-08-26,5575.8985
